individual,sample,round,model_spp_gr,spp,model,mpa,lfm_notes,fh,ttfg,gti,tti,fd,gd,pfg,ignition,start_temp,temp_max,ignition_temp,prop_new,sample_wt,glow,year_month,year,month,dry_wt,fresh_wt,water_wt,site,lfm_outliers_out,lfm_n_as_imputed,gr,precip_2month,precip_2mo,season,ignition_no_double,prop_ignite,ros,hydration,bins5lfm,bins10lfm,bins20lfm,temp_change,gdw_gfw,gww_gdw,gdw_gww,flam_index,max_mpa_sample,location
2020_October_ARPA_1.1,1.1,1,"2020_October_EPI_ARPA_(110,120]",ARPA,EPI,0.072,0,9,19,14,33,6,62,42,1,270,293.8,306.1,NA,0.4985,1,2020_October,2020,October,6.6265,7.0918,0.4653,1,115.8615538,115.8615538,"(110,120]",2020_October,0.61,Dry,1,40,1.6666666666666667,hydrated,"(115,120]","(110,120]","(100,120]",107.39999999999998,0.9343890126625116,1.158615538,14.241349666881582,9.14338978036985,-0.072,seki
2020_October_ARPA_1.1,1.1,3,"2020_October_EPI_ARPA_(130,140]",ARPA,EPI,3.432,0,9.5,17,3,20,4,63,56,1,266.6,304.1,264.2,NA,0.5227,1,2020_October,2020,October,7.5839,8.0306,0.4467,1,134.1844398,134.1844398,"(130,140]",2020_October,0.61,Dry,1,100,2.5,hydrated,"(130,135]","(130,140]","(120,140]",37.5,0.9443752646128558,1.341844398,16.977613610924557,11.37619556052236,-0.072,seki
2020_October_ARPA_1.1,1.1,2,"2020_October_EPI_ARPA_(110,120]",ARPA,EPI,2.051,0,2,18,22,40,1,79,56,1,267.8,289.1,282.5,NA,0.5764,1,2020_October,2020,October,7.7536,8.3881,0.6345,1,110.3286385,110.3286385,"(110,120]",2020_October,0.61,Dry,1,40,10,hydrated,"(110,115]","(110,120]","(100,120]",21.30000000000001,0.9243571249746664,1.103286385,12.220015760441292,7.040623732945927,-0.072,seki
2020_October_ARPA_1.1,1.1,7,"2020_October_EPI_ARPA_(70,80]",ARPA,EPI,4.802,0,10.5,5,31,36,1,99,67,1,279.4,287.7,250,NA,0.5317,1,2020_October,2020,October,12.9289,13.4841,0.5552,1,76.06521441,76.06521441,"(70,80]",2020_October,0.61,Dry,1,20,10,moderate,"(75,80]","(70,80]","(60,80]",8.300000000000011,0.958825579756899,0.7606521440999999,23.28692363112392,9.084582010481782,-0.072,seki
2020_October_ARPA_1.2,1.2,3,"2020_October_EPI_ARPA_(90,100]",ARPA,EPI,3.538,0,22.5,11,11,22,3,64,38,1,277.7,293.8,242.9,NA,0.4236,1,2020_October,2020,October,7.5784,8.0927,0.5143,1,NA,91.94317390211218,"(90,100]",2020_October,0.61,Dry,1,23,0.6666666666666666,hydrated,"(90,95]","(90,100]","(80,100]",16.100000000000023,0.9364488983899067,0.9194317390211216,14.735368461987168,13.288638176422683,-0.109,seki
2020_October_ARPA_1.2,1.2,2,"2020_October_EPI_ARPA_(110,120]",ARPA,EPI,1.859,0,5,3,17,45,4,117,71,1,263.8,276.8,253.4,NA,0.5848,1,2020_October,2020,October,7.7409,8.2782,0.5373,1,110.7378401,110.7378401,"(110,120]",2020_October,0.61,Dry,1,40,2.5,hydrated,"(110,115]","(110,120]","(100,120]",13,0.9350945857795172,1.107378401,14.407035175879397,7.319698097756896,-0.109,seki
2020_October_ARPA_1.2,1.2,1,"2020_October_EPI_ARPA_(110,120]",ARPA,EPI,0.109,0,17,13,17,30,4,79,56,1,273.9,277.6,251.8,NA,0.5472,1,2020_October,2020,October,7.5641,7.9235,0.3594,1,112.1722846,112.1722846,"(110,120]",2020_October,0.61,Dry,1,40,2.5,hydrated,"(110,115]","(110,120]","(100,120]",3.7000000000000455,0.9546412570202562,1.121722846,21.04646633277685,10.90729901200276,-0.109,seki
2020_October_ARPA_1.3,1.3,5,"2020_October_EPI_ARPA_(70,80]",ARPA,EPI,5.558,0,5,12,14,26,9,45,22,1,286.2,369.1,293.5,NA,0.4585,1,2020_October,2020,October,12.6346,13.0247,0.3901,1,75.26529037,75.26529037,"(70,80]",2020_October,0.61,Dry,1,20,1.1111111111111112,moderate,"(75,80]","(70,80]","(60,80]",82.90000000000003,0.9700492141853556,0.7526529037,32.38810561394514,9.201114004918438,-0.113,seki
2020_October_ARPA_1.4,1.4,3,"2020_October_EPI_ARPA_(40,50]",ARPA,EPI,3.377,0,10,10,34,44,2,91,55,1,268.5,286.1,276.8,NA,0.5586,1,2020_October,2020,October,7.5363,7.6928,0.1565,1,44.49815183,44.49815183,"(40,50]",2020_October,0.61,Dry,1,100,5,dry,"(40,45]","(40,50]","(40,60]",17.600000000000023,0.9796563019966722,0.4449815183,48.155271565495205,8.27935787364308,-0.134,seki
2020_October_ARPA_1.5,1.5,4,"2020_October_EPI_ARPA_(140,150]",ARPA,EPI,1.382,0,7,15,23,38,9,78,46,1,280.2,342.3,278.5,NA,0.6265,1,2020_October,2020,October,7.5942,8.1631,0.5689,1,143.8068756,143.8068756,"(140,150]",2020_October,0.61,Dry,1,50,1.1111111111111112,hydrated,"(140,145]","(140,150]","(140,160]",62.10000000000002,0.9303083387438597,1.438068756,13.348918966426435,8.24749175184196,-0.084,seki
2020_October_ARPA_1.5,1.5,3,"2020_October_EPI_ARPA_(100,110]",ARPA,EPI,3.128,0,13,17,11,28,9,69,49,1,274.2,337.2,268.3,NA,0.4887,1,2020_October,2020,October,7.6145,7.9789,0.3644,1,101.98712570000001,101.98712570000001,"(100,110]",2020_October,0.61,Dry,1,22,1.1111111111111112,hydrated,"(100,105]","(100,110]","(100,120]",63,0.9543295441727556,1.019871257,20.89599341383095,10.55964122489018,-0.084,seki
2020_October_ARPA_2.1,2.1,4,"2020_October_EPI_ARPA_(80,90]",ARPA,EPI,1.038,DW may be off-find another written down?,4,21,22,43,2,77,53,1,267.9,287.2,276.8,NA,0.4884,1,2020_October,2020,October,7.6699,8.0808,0.4109,2,84.96691481,84.96691481,"(80,90]",2020_October,0.61,Dry,1,23,5,moderate,"(80,85]","(80,90]","(80,100]",19.30000000000001,0.949151074151074,0.8496691481,18.666098807495743,7.256852177503404,-0.13,seki
2020_October_ARPA_2.1,2.1,3,"2020_October_EPI_ARPA_(80,90]",ARPA,EPI,5.948,0,10,11,16,27,3,76,57,1,273.8,307.3,258.5,NA,0.478,1,2020_October,2020,October,7.6266,7.9877,0.3611,2,80.58469092,80.58469092,"(80,90]",2020_October,0.61,Dry,1,23,3.3333333333333335,moderate,"(80,85]","(80,90]","(80,100]",33.5,0.9547929942286264,0.8058469092,21.120465245084464,10.150822130795676,-0.13,seki
2020_October_ARPA_2.1,2.1,5,"2020_October_EPI_ARPA_(80,90]",ARPA,EPI,2.556,0,9.5,18,16,34,1,87,70,1,273.3,268.1,258.4,NA,0.4903,1,2020_October,2020,October,12.3325,12.5355,0.203,2,84.75991649,84.75991649,"(80,90]",2020_October,0.61,Dry,1,23,10,moderate,"(80,85]","(80,90]","(80,100]",-5.199999999999989,0.9838059909856008,0.8475991649,60.75123152709359,9.122846128613576,-0.13,seki
2020_October_ARPA_2.1,2.1,7,"2020_October_EPI_ARPA_(70,80]",ARPA,EPI,5.318,0,12,18,11,29,2,89,76,1,275.9,283.5,243.5,NA,0.4844,1,2020_October,2020,October,7.7373,8.1204,0.3831,2,70.70874862,70.70874862,"(70,80]",2020_October,0.61,Dry,1,20,5,moderate,"(70,75]","(70,80]","(60,80]",7.600000000000023,0.952822521058076,0.7070874862,20.196554424432264,10.226701237298766,-0.13,seki
2020_October_ARPA_2.4,2.4,2,"2020_October_EPI_ARPA_(100,110]",ARPA,EPI,4.224,0,2.5,17,21,38,3,80,56,1,276.9,315.9,285.1,NA,0.4581,1,2020_October,2020,October,7.6118,8.0281,0.4163,2,100.3858211,100.3858211,"(100,110]",2020_October,0.61,Dry,1,22,3.3333333333333335,hydrated,"(100,105]","(100,110]","(100,120]",39,0.9481446419451676,1.003858211,18.28441028104732,7.306559700767157,-0.046,seki
2020_October_ARPA_2.4,2.4,4,"2020_October_EPI_ARPA_(90,100]",ARPA,EPI,2.671,0,3.8,15,23,38,2,83,58,1,269.1,297.1,284.5,NA,0.5099,1,2020_October,2020,October,7.7544,8.2378,0.4834,2,90.79639369,90.79639369,"(90,100]",2020_October,0.61,Dry,1,23,5,hydrated,"(90,95]","(90,100]","(80,100]",28,0.9413192842749278,0.9079639369,16.041373603640878,7.594341226332783,-0.046,seki
2020_October_ARPA_2.5,2.5,4,"2020_October_EPI_ARPA_(90,100]",ARPA,EPI,3.564,0,11,23,20,43,4,115,91,1,266.1,321.8,278.6,NA,0.4812,1,2020_October,2020,October,7.5616,7.8713,0.3097,2,95.08750384,95.08750384,"(90,100]",2020_October,0.61,Dry,1,23,2.5,hydrated,"(95,100]","(90,100]","(80,100]",55.69999999999999,0.96065452974731,0.9508750384,24.41588634162093,8.519754932120472,-0.11,seki
2020_October_ABCO_1.4,1.4,1,"2020_October_EPI_ABCO_(130,140]",ABCO,EPI,0.312,0,5.5,12,13,25,5,65,47,1,262.8,232.4,294.4,90,0.5143,1,2020_October,2020,October,7.5349,7.9775,0.4426,1,131.374295,131.374295,"(130,140]",2020_October,0.61,Dry,1,50,2,hydrated,"(130,135]","(130,140]","(120,140]",-30.40000000000001,0.9445189595738014,1.31374295,17.02417532760958,20.004484751161556,-0.312,seki
2020_October_PIJE_1.3,1.3,5,"2020_October_EPI_PIJE_(120,130]",PIJE,EPI,3.007,0,7,11,32,43,5,82,45,1,272.5,296.5,284.6,100,0.5138,1,2020_October,2020,October,7.4928,7.7728,0.28,1,122.3776224,122.3776224,"(120,130]",2020_October,0.61,Dry,1,14,2,hydrated,"(120,125]","(120,130]","(120,140]",24,0.9639769452449568,1.223776224,26.76,16.182214874969933,-0.314,seki
