individual_round,individual_epi,sample_epi,round_epi,spp_epi,model_epi,mpa_epi,lfm_epi,lfm_notes_epi,fh_epi,ttfg_epi,gti_epi,tti_epi,fd_epi,gd_epi,pfg_epi,ignition_epi,start_temp_epi,temp_max_epi,ignition_temp_epi,prop_new_epi,sample_wt_epi,glow_epi,year_month_epi,year_epi,month_epi,dry_wt_epi,fresh_wt_epi,water_wt_epi,site_epi,location_epi,individual_hp,sample_hp,round_hp,spp_hp,model_hp,mpa_hp,lfm_hp,lfm_notes_hp,fh_hp,ttfg_hp,gti_hp,tti_hp,fd_hp,gd_hp,pfg_hp,ignition_hp,start_temp_hp,temp_max_hp,ignition_temp_hp,prop_new_hp,sample_wt_hp,glow_hp,year_month_hp,year_hp,month_hp,dry_wt_hp,fresh_wt_hp,water_wt_hp,site_hp,location_hp
2020_October_ABCO_1.1_1,2020_October_ABCO_1.1,1.1,1,ABCO,EPI,-0.208,187.3278237,0,0,30,-7148,-7118,0,96,7244,0,265.9,0,0,95,0.5775,1,2020_October,2020,October,7.646,8.462,0.816,1,seki,2020_October_ABCO_1.1,1.1,1,ABCO,HP,-0.208,187.3278237,0,44,169,0,169,26,62,36,1,270.9,324.7,276.5,0,6.8053,0,2020_October,2020,October,7.646,8.462,0.816,1,seki
2020_October_ABCO_1.1_2,2020_October_ABCO_1.1,1.1,2,ABCO,EPI,-0.698,182.6067812,0,0,27,-13250,-13223,0,106,13356,0,294.4,0,0,0,0.5377,1,2020_October,2020,October,7.6631,8.4925,0.8294,1,seki,2020_October_ABCO_1.1,1.1,2,ABCO,HP,-0.698,182.6067812,0,44,168,0,168,15,153,138,1,265.3,444.8,270.3,0,7.8281,0,2020_October,2020,October,7.6631,8.4925,0.8294,1,seki
2020_October_ABCO_1.1_3,2020_October_ABCO_1.1,1.1,3,ABCO,EPI,-0.987,167.4635332,0,0,36,-32783,-32747,0,117,32900,0,270.6,0,0,0,0.5127,1,2020_October,2020,October,7.6714,8.498,0.8266,1,seki,2020_October_ABCO_1.1,1.1,3,ABCO,HP,-0.987,167.4635332,0,46,532,0,532,9,104,95,2,212.4,337.3,264.9,0,7.3618,0,2020_October,2020,October,7.6714,8.498,0.8266,1,seki
2020_October_ABCO_1.1_4,2020_October_ABCO_1.1,1.1,4,ABCO,EPI,-2.187,143.9111262,0,0,27,-82780,-82753,0,82,82862,0,265.7,0,0,0,0.5391,1,2020_October,2020,October,7.8193,8.6678,0.8485,1,seki,2020_October_ABCO_1.1,1.1,4,ABCO,HP,-2.187,143.9111262,0,48,224,0,224,14,118,104,1,230.4,273.7,239,0,7.2782,0,2020_October,2020,October,7.8193,8.6678,0.8485,1,seki
2020_October_ABCO_1.2_1,2020_October_ABCO_1.2,1.2,1,ABCO,EPI,-0.261,200.2079002,0,0,20,-7532,-7512,0,73,7605,0,268.5,0,0,80,0.5398,1,2020_October,2020,October,7.3531,7.642,0.2889,1,seki,2020_October_ABCO_1.2,1.2,1,ABCO,HP,-0.261,200.2079002,0,20,100,44,144,6,108,58,1,267,289.2,288.9,0,3.2049,1,2020_October,2020,October,7.3531,7.642,0.2889,1,seki
2020_October_ABCO_1.2_2,2020_October_ABCO_1.2,1.2,2,ABCO,EPI,-1.223,165.0322119,0,0,20,-14442,-14422,0,66,14508,0,283.4,0,0,100,0.4292,1,2020_October,2020,October,7.5323,7.9934,0.4611,1,seki,2020_October_ABCO_1.2,1.2,2,ABCO,HP,-1.223,165.0322119,0,47,67,0,67,10,62,52,1,263.6,294.8,258.8,0,2.7272,0,2020_October,2020,October,7.5323,7.9934,0.4611,1,seki
2020_October_ABCO_1.2_3,2020_October_ABCO_1.2,1.2,3,ABCO,EPI,-1.784,146.0624071,0,0,13,-83130,-83117,0,103,83233,0,266.6,0,0,0,0.5436,1,2020_October,2020,October,7.4956,7.7905,0.2949,1,seki,2020_October_ABCO_1.2,1.2,3,ABCO,HP,-1.784,146.0624071,0,40,74,0,74,14,57,43,1,265.6,287,265.1,0,2.9943,0,2020_October,2020,October,7.4956,7.7905,0.2949,1,seki
2020_October_ABCO_1.3_1,2020_October_ABCO_1.3,1.3,1,ABCO,EPI,-0.112,191.840796,0,0,23,-6738,-6715,0,77,6815,0,264.8,0,0,80,0.4651,1,2020_October,2020,October,7.4405,8.0189,0.5784,1,seki,2020_October_ABCO_1.3,1.3,1,ABCO,HP,-0.112,191.840796,0,33,109,12,121,15,70,43,1,248.7,288.8,257.1,0,4.904,1,2020_October,2020,October,7.4405,8.0189,0.5784,1,seki
2020_October_ABCO_1.3_2,2020_October_ABCO_1.3,1.3,2,ABCO,EPI,-1.117,173.6986301,0,0,16,-17632,-17616,0,91,17723,0,285.5,0,0,0,0.5063,1,2020_October,2020,October,7.6374,8.525,0.8876,1,seki,2020_October_ABCO_1.3,1.3,2,ABCO,HP,-1.117,173.6986301,0,38,109,0,109,24,185,161,1,276.8,406.5,277.9,0,9.6563,0,2020_October,2020,October,7.6374,8.525,0.8876,1,seki
2020_October_ABCO_1.3_3,2020_October_ABCO_1.3,1.3,3,ABCO,EPI,-2.223,165.5562958,0,0,20,-84500,-84480,0,86,84586,0,269.2,0,0,0,0.4537,1,2020_October,2020,October,7.8292,8.8232,0.994,1,seki,2020_October_ABCO_1.3,1.3,3,ABCO,HP,-2.223,165.5562958,0,47,135,0,135,10,79,69,1,274.4,294,256.7,0,5.1845,0,2020_October,2020,October,7.8292,8.8232,0.994,1,seki
