individual_round,individual,sample,round,model_spp_gr,spp,model,mpa,lfm_notes,fh,ttfg,gti,tti,fd,gd,pfg,ignition,start_temp,temp_max,ignition_temp,prop_new,sample_wt,glow,year_month,year,month,dry_wt,fresh_wt,water_wt,site,lfm_outliers_out,lfm_n_as_imputed,gr,precip_2month,precip_2mo,season,ignition_no_double,prop_ignite,ros,hydration,bins5lfm,bins10lfm,bins20lfm,temp_change,gdw_gfw,gww_gdw,gdw_gww,flam_index,max_mpa_sample,location
2020_October_ABCO_1.4_1,2020_October_ABCO_1.4,1.4,1,"2020_October_EPI_ABCO_(130,140]",ABCO,EPI,0.312,0,5.5,12,13,25,5,65,47,1,262.8,232.4,294.4,90,0.5143,1,2020_October,2020,October,7.5349,7.9775,0.4426,1,131.374295,131.374295,"(130,140]",2020_October,0.61,Dry,1,50,2,hydrated,"(130,135]","(130,140]","(120,140]",-30.40000000000001,0.9445189595738014,1.31374295,17.02417532760958,20.004484751161556,-0.312,seki
2020_October_ARPA_1.1_1,2020_October_ARPA_1.1,1.1,1,"2020_October_EPI_ARPA_(110,120]",ARPA,EPI,0.072,0,9,19,14,33,6,62,42,1,270,293.8,306.1,NA,0.4985,1,2020_October,2020,October,6.6265,7.0918,0.4653,1,115.8615538,115.8615538,"(110,120]",2020_October,0.61,Dry,1,40,1.6666666666666667,hydrated,"(115,120]","(110,120]","(100,120]",107.39999999999998,0.9343890126625116,1.158615538,14.241349666881582,9.14338978036985,-0.072,seki
2020_October_ARPA_1.2_1,2020_October_ARPA_1.2,1.2,1,"2020_October_EPI_ARPA_(110,120]",ARPA,EPI,0.109,0,17,13,17,30,4,79,56,1,273.9,277.6,251.8,NA,0.5472,1,2020_October,2020,October,7.5641,7.9235,0.3594,1,112.1722846,112.1722846,"(110,120]",2020_October,0.61,Dry,1,40,2.5,hydrated,"(110,115]","(110,120]","(100,120]",3.7000000000000455,0.9546412570202562,1.121722846,21.04646633277685,10.90729901200276,-0.109,seki
2020_October_ARPA_1.2_2,2020_October_ARPA_1.2,1.2,2,"2020_October_EPI_ARPA_(110,120]",ARPA,EPI,1.859,0,5,3,17,45,4,117,71,1,263.8,276.8,253.4,NA,0.5848,1,2020_October,2020,October,7.7409,8.2782,0.5373,1,110.7378401,110.7378401,"(110,120]",2020_October,0.61,Dry,1,40,2.5,hydrated,"(110,115]","(110,120]","(100,120]",13,0.9350945857795172,1.107378401,14.407035175879397,7.319698097756896,-0.109,seki
2020_October_ARPA_1.3_5,2020_October_ARPA_1.3,1.3,5,"2020_October_EPI_ARPA_(70,80]",ARPA,EPI,5.558,0,5,12,14,26,9,45,22,1,286.2,369.1,293.5,NA,0.4585,1,2020_October,2020,October,12.6346,13.0247,0.3901,1,75.26529037,75.26529037,"(70,80]",2020_October,0.61,Dry,1,20,1.1111111111111112,moderate,"(75,80]","(70,80]","(60,80]",82.90000000000003,0.9700492141853556,0.7526529037,32.38810561394514,9.201114004918438,-0.113,seki
2020_October_ARPA_1.4_3,2020_October_ARPA_1.4,1.4,3,"2020_October_EPI_ARPA_(40,50]",ARPA,EPI,3.377,0,10,10,34,44,2,91,55,1,268.5,286.1,276.8,NA,0.5586,1,2020_October,2020,October,7.5363,7.6928,0.1565,1,44.49815183,44.49815183,"(40,50]",2020_October,0.61,Dry,1,100,5,dry,"(40,45]","(40,50]","(40,60]",17.600000000000023,0.9796563019966722,0.4449815183,48.155271565495205,8.27935787364308,-0.134,seki
2020_October_ARPA_1.4_3,2020_October_ARPA_1.4,1.4,3,"2020_October_EPI_ARPA_(40,50]",ARPA,EPI,3.377,0,10,10,34,44,2,91,55,1,268.5,286.1,276.8,NA,0.5586,1,2020_October,2020,October,7.5363,7.6928,0.1565,1,44.49815183,44.49815183,"(40,50]",2020_October,0.61,Dry,1,100,5,dry,"(40,45]","(40,50]","(40,60]",17.600000000000023,0.9796563019966722,0.4449815183,48.155271565495205,8.27935787364308,-0.134,seki
2020_October_ARPA_1.5_3,2020_October_ARPA_1.5,1.5,3,"2020_October_EPI_ARPA_(100,110]",ARPA,EPI,3.128,0,13,17,11,28,9,69,49,1,274.2,337.2,268.3,NA,0.4887,1,2020_October,2020,October,7.6145,7.9789,0.3644,1,101.98712570000001,101.98712570000001,"(100,110]",2020_October,0.61,Dry,1,22,1.1111111111111112,hydrated,"(100,105]","(100,110]","(100,120]",63,0.9543295441727556,1.019871257,20.89599341383095,10.55964122489018,-0.084,seki
2020_October_ARPA_1.5_4,2020_October_ARPA_1.5,1.5,4,"2020_October_EPI_ARPA_(140,150]",ARPA,EPI,1.382,0,7,15,23,38,9,78,46,1,280.2,342.3,278.5,NA,0.6265,1,2020_October,2020,October,7.5942,8.1631,0.5689,1,143.8068756,143.8068756,"(140,150]",2020_October,0.61,Dry,1,50,1.1111111111111112,hydrated,"(140,145]","(140,150]","(140,160]",62.10000000000002,0.9303083387438597,1.438068756,13.348918966426435,8.24749175184196,-0.084,seki
2020_October_ARPA_2.1_3,2020_October_ARPA_2.1,2.1,3,"2020_October_EPI_ARPA_(80,90]",ARPA,EPI,5.948,0,10,11,16,27,3,76,57,1,273.8,307.3,258.5,NA,0.478,1,2020_October,2020,October,7.6266,7.9877,0.3611,2,80.58469092,80.58469092,"(80,90]",2020_October,0.61,Dry,1,23,3.3333333333333335,moderate,"(80,85]","(80,90]","(80,100]",33.5,0.9547929942286264,0.8058469092,21.120465245084464,10.150822130795676,-0.13,seki
