individual_round,individual_epi,sample_epi,round_epi,spp_epi,model_epi,mpa_epi,lfm_notes_epi,fh_epi,ttfg_epi,gti_epi,tti_epi,fd_epi,gd_epi,pfg_epi,ignition_epi,start_temp_epi,temp_max_epi,ignition_temp_epi,prop_new_epi,sample_wt_epi,glow_epi,year_month_epi,year_epi,month_epi,dry_wt_epi,fresh_wt_epi,water_wt_epi,site_epi,lfm_outliers_out_epi,lfm_n_as_imputed_epi,gr_epi,precip_2month_epi,precip_2mo_epi,season_epi,ignition_no_double_epi,hydration_epi,bins5lfm_epi,bins10lfm_epi,bins20lfm_epi,temp_change_epi,gdw_gfw_epi,gww_gdw_epi,gdw_gww_epi,flam_index_epi,max_mpa_sample_epi,lfm_epi,location_epi,dw_flam_sample_epi,individual_hp,sample_hp,round_hp,spp_hp,model_hp,mpa_hp,lfm_notes_hp,fh_hp,ttfg_hp,gti_hp,tti_hp,fd_hp,gd_hp,pfg_hp,ignition_hp,start_temp_hp,temp_max_hp,ignition_temp_hp,prop_new_hp,sample_wt_hp,glow_hp,year_month_hp,year_hp,month_hp,dry_wt_hp,fresh_wt_hp,water_wt_hp,site_hp,lfm_outliers_out_hp,lfm_n_as_imputed_hp,gr_hp,precip_2month_hp,precip_2mo_hp,season_hp,ignition_no_double_hp,hydration_hp,bins5lfm_hp,bins10lfm_hp,bins20lfm_hp,temp_change_hp,gdw_gfw_hp,gww_gdw_hp,gdw_gww_hp,flam_index_hp,max_mpa_sample_hp,lfm_hp,location_hp,dw_flam_sample_hp,ww_flam_sample_epi,ww_flam_sample_hp
2020_October_ARPA_1.1_1,2020_October_ARPA_1.1,1.1,1,ARPA,EPI,-0.072,0,9,19,14,33,6,62,42,1,270,293.8,306.1,NA,0.4985,1,2020_October,2020,October,6.6265,7.0918,0.4653,1,115.8615538,115.8615538,"(110,120]",2020_October,0.61,Dry,1,hydrated,"(115,120]","(110,120]","(100,120]",107.39999999999998,0.9343890126625116,1.158615538,14.241349666881582,14.883890389562056,-0.046,115.8615538,seki,0.2309350559302793,2020_October_ARPA_1.1,1.1,1,ARPA,HP,-0.072,0,39,118,5,50,16,99,78,1,255.4,251.4,229.6,NA,4.9213,1,2020_October,2020,October,6.6265,7.0918,0.4653,1,115.8615538,115.8615538,"(110,120]",2020_October,0.61,Dry,1,hydrated,"(115,120]","(110,120]","(100,120]",-4,0.9343890126625116,1.158615538,14.241349666881582,24.18300911629532,-0.046,115.8615538,seki,2.279840904212003,0.2675649440697207,2.6414590957879964
2020_October_ARPA_1.2_1,2020_October_ARPA_1.2,1.2,1,ARPA,EPI,-0.109,0,17,13,17,30,4,79,56,1,273.9,277.6,251.8,NA,0.5472,1,2020_October,2020,October,7.5641,7.9235,0.3594,1,112.1722846,112.1722846,"(110,120]",2020_October,0.61,Dry,1,hydrated,"(110,115]","(110,120]","(100,120]",3.7000000000000455,0.9546412570202562,1.121722846,21.04646633277685,17.531391995160973,-0.046,112.1722846,seki,0.25790361876510615,2020_October_ARPA_1.2,1.2,1,ARPA,HP,-0.109,0,21,50,0.5,50,33,329,296,1,228.8,286.3,249.7,NA,3.1326,0,2020_October,2020,October,7.5641,7.9235,0.3594,1,112.1722846,112.1722846,"(110,120]",2020_October,0.61,Dry,1,hydrated,"(110,115]","(110,120]","(100,120]",57.5,0.9546412570202562,1.121722846,21.04646633277685,20.802828870250085,-0.046,112.1722846,seki,1.4764416596191,0.2892963812348939,1.6561583403809002
2020_October_ARPA_1.2_2,2020_October_ARPA_1.2,1.2,2,ARPA,EPI,-1.859,0,5,3,17,45,4,117,71,1,263.8,276.8,253.4,NA,0.5848,1,2020_October,2020,October,7.7409,8.2782,0.5373,1,110.7378401,110.7378401,"(110,120]",2020_October,0.61,Dry,1,hydrated,"(110,115]","(110,120]","(100,120]",13,0.9350945857795173,1.107378401,14.407035175879397,12.621337442956984,-0.046,110.7378401,seki,0.27750118332924867,2020_October_ARPA_1.2,1.2,2,ARPA,HP,-1.859,0,21,47,0.5,47,47,138,91,1,212.5,413.5,241.4,NA,5.5904,0,2020_October,2020,October,7.7409,8.2782,0.5373,1,110.7378401,110.7378401,"(110,120]",2020_October,0.61,Dry,1,hydrated,"(110,115]","(110,120]","(100,120]",201,0.9350945857795173,1.107378401,14.407035175879397,21.60339610045547,-0.046,110.7378401,seki,2.652774649938153,0.3072988166707513,2.9376253500618468
2020_October_ARPA_1.3_5,2020_October_ARPA_1.3,1.3,5,ARPA,EPI,-5.558,0,5,12,14,26,9,45,22,1,286.2,369.1,293.5,NA,0.4585,1,2020_October,2020,October,12.6346,13.0247,0.3901,1,75.26529037,75.26529037,"(70,80]",2020_October,0.61,Dry,1,moderate,"(75,80]","(70,80]","(60,80]",82.90000000000003,0.9700492141853556,0.7526529037,32.38810561394514,14.069437753441177,-0.046,75.26529037,seki,0.2616034236054768,2020_October_ARPA_1.3,1.3,5,ARPA,HP,-5.558,0,31,88,29,117,6,329,294,1,243.9,261.2,260.8,NA,3.948,1,2020_October,2020,October,12.6346,13.0247,0.3901,1,75.26529037,75.26529037,"(70,80]",2020_October,0.61,Dry,1,moderate,"(75,80]","(70,80]","(60,80]",17.299999999999983,0.9700492141853556,0.7526529037,32.38810561394514,13.819589127281777,-0.046,75.26529037,seki,2.25258520478609,0.19689657639452324,1.6954147952139098
2020_October_ARPA_1.4_3,2020_October_ARPA_1.4,1.4,3,ARPA,EPI,-3.377,0,10,10,34,44,2,91,55,1,268.5,286.1,276.8,NA,0.5586,1,2020_October,2020,October,7.5363,7.6928,0.1565,1,44.49815183,44.49815183,"(40,50]",2020_October,0.61,Dry,1,dry,"(40,45]","(40,50]","(40,60]",17.600000000000023,0.9796563019966722,0.4449815183,48.155271565495205,14.376484362566044,-0.046,44.49815183,seki,0.38657933885354107,2020_October_ARPA_1.4,1.4,3,ARPA,HP,-3.377,0,26,40,0.5,40,12,45,33,1,254.1,253.3,249.4,NA,2.8179,0,2020_October,2020,October,7.5363,7.6928,0.1565,1,44.49815183,44.49815183,"(40,50]",2020_October,0.61,Dry,1,dry,"(40,45]","(40,50]","(40,60]",-0.799999999999983,0.9796563019966722,0.4449815183,48.155271565495205,25.056802021716333,-0.046,44.49815183,seki,1.9501287485775032,0.17202066114645892,0.8677712514224967
2020_October_ARPA_1.4_3,2020_October_ARPA_1.4,1.4,3,ARPA,EPI,-3.377,0,10,10,34,44,2,91,55,1,268.5,286.1,276.8,NA,0.5586,1,2020_October,2020,October,7.5363,7.6928,0.1565,1,44.49815183,44.49815183,"(40,50]",2020_October,0.61,Dry,1,dry,"(40,45]","(40,50]","(40,60]",17.600000000000023,0.9796563019966722,0.4449815183,48.155271565495205,14.376484362566044,-0.046,44.49815183,seki,0.38657933885354107,2020_October_ARPA_1.4,1.4,3,ARPA,HP,-3.377,0,29,32,0.5,32,20,129,109,1,235.6,263.6,238.5,NA,2.8179,0,2020_October,2020,October,7.5363,7.6928,0.1565,1,44.49815183,44.49815183,"(40,50]",2020_October,0.61,Dry,1,dry,"(40,45]","(40,50]","(40,60]",28.00000000000003,0.9796563019966722,0.4449815183,48.155271565495205,29.401697144999932,-0.046,44.49815183,seki,1.9501287485775032,0.17202066114645892,0.8677712514224967
2020_October_ARPA_1.5_3,2020_October_ARPA_1.5,1.5,3,ARPA,EPI,-3.128,0,13,17,11,28,9,69,49,1,274.2,337.2,268.3,NA,0.4887,1,2020_October,2020,October,7.6145,7.9789,0.3644,1,101.98712570000001,101.98712570000001,"(100,110]",2020_October,0.61,Dry,1,hydrated,"(100,105]","(100,110]","(100,120]",63,0.9543295441727555,1.0198712570000001,20.89599341383095,16.669886042080318,-0.046,101.98712570000001,seki,0.24194611330122018,2020_October_ARPA_1.5,1.5,3,ARPA,HP,-3.128,0,40,51,0.5,50,20,195,175,1,266.9,280.6,262.7,NA,4.2343,0,2020_October,2020,October,7.6145,7.9789,0.3644,1,101.98712570000001,101.98712570000001,"(100,110]",2020_October,0.61,Dry,1,hydrated,"(100,105]","(100,110]","(100,120]",13.700000000000044,0.9543295441727555,1.0198712570000001,20.89599341383095,24.33650022555657,-0.046,101.98712570000001,seki,2.0963217261128637,0.24675388669877985,2.1379782738871365
2020_October_ARPA_1.5_4,2020_October_ARPA_1.5,1.5,4,ARPA,EPI,-1.382,0,7,15,23,38,9,78,46,1,280.2,342.3,278.5,NA,0.6265,1,2020_October,2020,October,7.5942,8.1631,0.5689,1,143.8068756,143.8068756,"(140,150]",2020_October,0.61,Dry,1,hydrated,"(140,145]","(140,150]","(140,160]",62.10000000000002,0.9303083387438595,1.438068756,13.348918966426435,13.788487159066904,-0.046,143.8068756,seki,0.25696568173403883,2020_October_ARPA_1.5,1.5,4,ARPA,HP,-1.382,0,21,51,0.5,51,20,229,157,1,239.1,270.2,246.6,NA,3.4052,0,2020_October,2020,October,7.5942,8.1631,0.5689,1,143.8068756,143.8068756,"(140,150]",2020_October,0.61,Dry,1,hydrated,"(140,145]","(140,150]","(140,160]",31.09999999999999,0.9303083387438595,1.438068756,13.348918966426435,20.552782937456275,-0.046,143.8068756,seki,1.396679232946128,0.3695343182659611,2.008520767053872
2020_October_ARPA_2.1_3,2020_October_ARPA_2.1,2.1,3,ARPA,EPI,-5.948,0,10,11,16,27,3,76,57,1,273.8,307.3,258.5,NA,0.478,1,2020_October,2020,October,7.6266,7.9877,0.3611,2,80.58469092,80.58469092,"(80,90]",2020_October,0.61,Dry,1,moderate,"(80,85]","(80,90]","(80,100]",33.5,0.9547929942286265,0.8058469092,21.120465245084464,15.837159919365124,-0.046,80.58469092,seki,0.264695748883695,2020_October_ARPA_2.1,2.1,3,ARPA,HP,-5.948,0,16,31,0.5,31,29,144,115,1,261.7,284.4,261.6,NA,3.7074,0,2020_October,2020,October,7.6266,7.9877,0.3611,2,80.58469092,80.58469092,"(80,90]",2020_October,0.61,Dry,1,moderate,"(80,85]","(80,90]","(80,100]",22.69999999999999,0.9547929942286265,0.8058469092,21.120465245084464,26.132187701895063,-0.046,80.58469092,seki,2.052997948559437,0.21330425111630497,1.6544020514405626
2020_October_ARPA_2.1_4,2020_October_ARPA_2.1,2.1,4,ARPA,EPI,-1.038,DW may be off-find another written down?,4,21,22,43,2,77,53,1,267.9,287.2,276.8,NA,0.4884,1,2020_October,2020,October,7.6699,8.0808,0.4109,2,84.96691481,84.96691481,"(80,90]",2020_October,0.61,Dry,1,moderate,"(80,85]","(80,90]","(80,100]",19.30000000000001,0.9491510741510741,0.8496691481,18.666098807495743,12.345526016944016,-0.046,84.96691481,seki,0.2640472219054363,2020_October_ARPA_2.1,2.1,4,ARPA,HP,-1.038,DW may be off-find another written down?,26,40,0.5,40,26,132,106,1,264.3,329,268.8,NA,4.3009,0,2020_October,2020,October,7.6699,8.0808,0.4109,2,84.96691481,84.96691481,"(80,90]",2020_October,0.61,Dry,1,moderate,"(80,85]","(80,90]","(80,100]",64.69999999999999,0.9491510741510741,0.8496691481,18.666098807495743,25.056802021716333,-0.046,84.96691481,seki,2.325226651705756,0.22435277809456372,1.9756733482942446
2020_October_ARPA_2.1_5,2020_October_ARPA_2.1,2.1,5,ARPA,EPI,-2.556,0,9.5,18,16,34,1,87,70,1,273.3,268.1,258.4,NA,0.4903,1,2020_October,2020,October,12.3325,12.5355,0.203,2,84.75991649,84.75991649,"(80,90]",2020_October,0.61,Dry,1,moderate,"(80,85]","(80,90]","(80,100]",-5.199999999999989,0.9838059909856008,0.8475991649,60.75123152709359,14.961602012275298,-0.046,84.75991649,seki,0.26537141243324663,2020_October_ARPA_2.1,2.1,5,ARPA,HP,-2.556,0,26,48,0.5,48,16,256,240,1,233,266.1,247.1,NA,2.8463,0,2020_October,2020,October,12.3325,12.5355,0.203,2,84.75991649,84.75991649,"(80,90]",2020_October,0.61,Dry,1,moderate,"(80,85]","(80,90]","(80,100]",33.10000000000002,0.9838059909856008,0.8475991649,60.75123152709359,22.428340717687785,-0.046,84.75991649,seki,1.5405397740337547,0.22492858756675338,1.305760225966245
2020_October_ARPA_2.4_2,2020_October_ARPA_2.4,2.4,2,ARPA,EPI,-4.224,0,2.5,17,21,38,3,80,56,1,276.9,315.9,285.1,NA,0.4581,1,2020_October,2020,October,7.6118,8.0281,0.4163,2,100.3858211,100.3858211,"(100,110]",2020_October,0.61,Dry,1,hydrated,"(100,105]","(100,110]","(100,120]",39,0.9481446419451676,1.003858211,18.28441028104732,12.019686467622734,-0.046,100.3858211,seki,0.22860898914169733,2020_October_ARPA_2.4,2.4,2,ARPA,HP,-4.224,0,20,47,0.5,47,32,40,8,1,219.2,260.1,223.1,NA,4.2035,0,2020_October,2020,October,7.6118,8.0281,0.4163,2,100.3858211,100.3858211,"(100,110]",2020_October,0.61,Dry,1,hydrated,"(100,105]","(100,110]","(100,120]",40.900000000000034,0.9481446419451676,1.003858211,18.28441028104732,21.364825724809524,-0.046,100.3858211,seki,2.0977033090092223,0.22949101085830267,2.1057966909907777
2020_October_ARPA_2.4_4,2020_October_ARPA_2.4,2.4,4,ARPA,EPI,-2.671,0,3.8,15,23,38,2,83,58,1,269.1,297.1,284.5,NA,0.5099,1,2020_October,2020,October,7.7544,8.2378,0.4834,2,90.79639369,90.79639369,"(90,100]",2020_October,0.61,Dry,1,hydrated,"(90,95]","(90,100]","(80,100]",28,0.9413192842749278,0.9079639369,16.041373603640878,12.56647478483079,-0.046,90.79639369,seki,0.2672482378406322,2020_October_ARPA_2.4,2.4,4,ARPA,HP,-2.671,0,36,50,0.5,50,22,192,170,1,259.7,312.7,246,NA,6.1003,1,2020_October,2020,October,7.7544,8.2378,0.4834,2,90.79639369,90.79639369,"(90,100]",2020_October,0.61,Dry,1,hydrated,"(90,95]","(90,100]","(80,100]",53,0.9413192842749278,0.9079639369,16.041373603640878,23.70398704961828,-0.046,90.79639369,seki,3.197282654048261,0.24265176215936785,2.903017345951739
2020_October_ARPA_2.5_4,2020_October_ARPA_2.5,2.5,4,ARPA,EPI,-3.564,0,11,23,20,43,4,115,91,1,266.1,321.8,278.6,NA,0.4812,1,2020_October,2020,October,7.5616,7.8713,0.3097,2,95.08750384,95.08750384,"(90,100]",2020_October,0.61,Dry,1,hydrated,"(95,100]","(90,100]","(80,100]",55.69999999999999,0.9606545297473099,0.9508750384,24.41588634162093,14.742117664731555,-0.046,95.08750384,seki,0.2466585457952518,2020_October_ARPA_2.5,2.5,4,ARPA,HP,-3.564,0,31,53,0.5,53,23,198,175,1,246.1,274.5,245.8,NA,2.5001,0,2020_October,2020,October,7.5616,7.8713,0.3097,2,95.08750384,95.08750384,"(90,100]",2020_October,0.61,Dry,1,hydrated,"(95,100]","(90,100]","(80,100]",28.40000000000001,0.9606545297473099,0.9508750384,24.41588634162093,22.039760312698427,-0.046,95.08750384,seki,1.2815274944777826,0.23454145420474823,1.2185725055222176
2020_October_CECO_1.1_3,2020_October_CECO_1.1,1.1,3,CECO,EPI,-3.827,0,9,5,27,60,6,117,56,1,268.1,367,326.7,NA,0.7787,1,2020_October,2020,October,12.4064,12.5882,0.1818,1,82.1880651,82.1880651,"(80,90]",2020_October,0.61,Dry,1,moderate,"(80,85]","(80,90]","(80,100]",98.89999999999998,0.985557903433374,0.8218806510000001,68.24202420242024,11.626032016933266,-0.046,82.1880651,seki,0.427415483869695,2020_October_CECO_1.1,1.1,3,CECO,HP,-3.827,0,16,562,0.5,562,15,110,95,2,230.7,279.5,247.2,NA,1.8793,0,2020_October,2020,October,12.4064,12.5882,0.1818,1,82.1880651,82.1880651,"(80,90]",2020_October,0.61,Dry,NA,moderate,"(80,85]","(80,90]","(80,100]",48.80000000000001,0.985557903433374,0.8218806510000001,68.24202420242024,13.948662246598667,-0.046,82.1880651,seki,1.0315165260515191,0.3512845161303049,0.8477834739484809
