model.spp.gr.sample,individual,sample,round,model.spp.gr,spp,model,mpa,lfm.notes,fh,ttfg,gti,tti,fd,gd,pfg,ignition,start.temp,temp.max,ignition.temp,prop.new,sample.wt,glow,year.month,year,month,dry.wt,fresh.wt,water.wt,site,bottle.wt,ttms,lfm.outliers.out,lfm.NAs.imputed,gr,precip.2month,precip.2mo,season,ignition_no_double,prop.ignite,ros,hydration,bins5lfm,bins10lfm,bins20lfm,temp.change,gdw.gfw,gww.gdw,gdw.gww,dw.flam.sample,ww.flam.sample,gww.gdw.saturated,gdw.gww.saturated,RWC,RWD,max.mpa.sample,flam.index,mean.wt,dry.norm.fh,dry.norm.gd,dry.norm.fd,dry.norm.pfg,dry.norm.ttfg,dry.norm.tti,dry.norm.gti,fh_nas_imputed
"2020_October_EPI_ARPA_(110,120]_1.1",2020_October_ARPA_1.1,1.1,1,"2020_October_EPI_ARPA_(110,120]",ARPA,EPI,0.072,0,9,19,14,33,6,62,42,1,270,293.8,306.1,NA,0.4985,1,2020_October,2020,October,6.6265,7.0918,0.4653,1,6.2249,NA,115.8615538,115.8615538,"(110,120]",2020_October,0.61,Dry,1,40,1.6666666666666667,hydrated,"(115,120]","(110,120]","(100,120]",107.39999999999998,0.9343890126625116,1.158615538,14.241349666881582,0.46579292281226203,0.032707077187737965,1.341844398,12.220015760441292,86.34499944456302,13.655000555436985,-0.072,14.883890389562055,0.5115277777777778,19.321890821487326,133.10635899246824,12.881260547658217,90.16882383360752,40.790658400917685,70.84693301212019,30.056274611202507,NA
"2020_October_EPI_ARPA_(130,140]_1.1",2020_October_ARPA_1.1,1.1,3,"2020_October_EPI_ARPA_(130,140]",ARPA,EPI,3.432,0,9.5,17,3,20,4,63,56,1,266.6,304.1,264.2,NA,0.5227,1,2020_October,2020,October,7.5839,8.0306,0.4467,1,7.251,NA,134.1844398,134.1844398,"(130,140]",2020_October,0.61,Dry,1,100,2.5,hydrated,"(130,135]","(130,140]","(120,140]",37.5,0.9443752646128558,1.341844398,16.977613610924557,0.4936249508131398,0.02907504918686027,1.341844398,12.220015760441292,100,0,-0.072,16.61874147566022,0.5115277777777778,19.24538049454513,127.62726012172034,8.103318102966371,113.44645344152919,34.43910193760708,40.516590514831854,6.077488577224778,NA
"2020_October_EPI_ARPA_(110,120]_1.1",2020_October_ARPA_1.1,1.1,2,"2020_October_EPI_ARPA_(110,120]",ARPA,EPI,2.051,0,2,18,22,40,1,79,56,1,267.8,289.1,282.5,NA,0.5764,1,2020_October,2020,October,7.7536,8.3881,0.6345,1,7.1785,NA,110.3286385,110.3286385,"(110,120]",2020_October,0.61,Dry,1,40,10,hydrated,"(110,115]","(110,120]","(100,120]",21.30000000000001,0.9243571249746665,1.1032863849999999,12.220015760441292,0.5327994468353978,0.04360055316460221,1.341844398,12.220015760441292,82.22163364429083,17.778366355709167,-0.072,11.682448585772716,0.5115277777777778,3.7537576509869703,148.27342721398531,1.8768788254934852,105.10521422763516,33.78381885888273,75.0751530197394,41.29133416085667,NA
"2020_October_EPI_ARPA_(70,80]_1.1",2020_October_ARPA_1.1,1.1,7,"2020_October_EPI_ARPA_(70,80]",ARPA,EPI,4.802,0,10.5,5,31,36,1,99,67,1,279.4,287.7,250,NA,0.5317,1,2020_October,2020,October,12.9289,13.4841,0.5552,1,12.199,NA,76.06521441,76.06521441,"(70,80]",2020_October,0.61,Dry,1,20,10,moderate,"(75,80]","(70,80]","(60,80]",8.300000000000011,0.958825579756899,0.7606521440999999,23.28692363112392,0.5098075607567432,0.02189243924325679,1.341844398,12.220015760441292,56.68706038000688,43.31293961999312,-0.072,15.111069117566375,0.5115277777777778,20.59600682346514,194.19092147838558,1.9615244593776322,131.42213877830136,9.80762229688816,70.61488053759476,60.807258240706595,NA
"2020_October_EPI_ARPA_(90,100]_1.2",2020_October_ARPA_1.2,1.2,3,"2020_October_EPI_ARPA_(90,100]",ARPA,EPI,3.538,0,22.5,11,11,22,3,64,38,1,277.7,293.8,242.9,NA,0.4236,1,2020_October,2020,October,7.5784,8.0927,0.5143,1,7.2716,NA,NA,91.94317390211218,"(90,100]",2020_October,0.61,Dry,1,23,0.6666666666666666,hydrated,"(90,95]","(90,100]","(80,100]",16.100000000000023,0.9364488983899069,0.9194317390211217,14.735368461987168,0.3966797533579645,0.02692024664203546,1.451628825,12.989799387963279,63.337936198747066,36.662063801252934,-0.109,19.988782643821555,0.5115277777777778,56.72081776176754,161.33921496680543,7.562775701569005,95.79515888654073,27.730177572419684,55.46035514483937,27.730177572419684,NA
"2020_October_EPI_ARPA_(110,120]_1.2",2020_October_ARPA_1.2,1.2,2,"2020_October_EPI_ARPA_(110,120]",ARPA,EPI,1.859,0,5,3,17,45,4,117,71,1,263.8,276.8,253.4,NA,0.5848,1,2020_October,2020,October,7.7409,8.2782,0.5373,1,7.2557,NA,110.7378401,110.7378401,"(110,120]",2020_October,0.61,Dry,1,40,2.5,hydrated,"(110,115]","(110,120]","(100,120]",13,0.9350945857795173,1.107378401,14.407035175879397,0.5468433137638617,0.03795668623613824,1.451628825,12.989799387963279,76.2852309026035,23.7147690973965,-0.109,12.621337442956984,0.5115277777777778,9.14338691568807,213.95525382710088,7.314709532550457,129.8360942027706,5.486032149412843,82.29048224119263,31.08751551333944,NA
"2020_October_EPI_ARPA_(110,120]_1.2",2020_October_ARPA_1.2,1.2,1,"2020_October_EPI_ARPA_(110,120]",ARPA,EPI,0.109,0,17,13,17,30,4,79,56,1,273.9,277.6,251.8,NA,0.5472,1,2020_October,2020,October,7.5641,7.9235,0.3594,1,7.2437,NA,112.1722846,112.1722846,"(110,120]",2020_October,0.61,Dry,1,40,2.5,hydrated,"(110,115]","(110,120]","(100,120]",3.7000000000000455,0.9546412570202562,1.121722846,21.04646633277685,0.5223796958414841,0.024820304158515882,1.451628825,12.989799387963279,77.27339294189063,22.726607058109366,-0.109,17.531391995160973,0.5115277777777778,32.54337818895365,151.2309927604317,7.65726545622439,107.20171638714146,24.886112732729266,57.42949092168293,32.54337818895365,NA
"2020_October_EPI_ARPA_(70,80]_1.3",2020_October_ARPA_1.3,1.3,5,"2020_October_EPI_ARPA_(70,80]",ARPA,EPI,5.558,0,5,12,14,26,9,45,22,1,286.2,369.1,293.5,NA,0.4585,1,2020_October,2020,October,12.6346,13.0247,0.3901,1,12.1163,NA,75.26529037,75.26529037,"(70,80]",2020_October,0.61,Dry,1,20,1.1111111111111112,moderate,"(75,80]","(70,80]","(60,80]",82.90000000000003,0.9700492141853556,0.7526529037,32.38810561394514,0.44476756470398554,0.013732435296014478,1.2818013,13.917059036580948,58.71837574981396,41.28162425018604,-0.113,14.069437753441177,0.5115277777777778,11.24182696039839,101.1764426435855,20.235288528717103,49.46403862575291,26.980384704956137,58.45750019407163,31.47711548911549,NA
"2020_October_EPI_ARPA_(40,50]_1.4",2020_October_ARPA_1.4,1.4,3,"2020_October_EPI_ARPA_(40,50]",ARPA,EPI,3.377,0,10,10,34,44,2,91,55,1,268.5,286.1,276.8,NA,0.5586,1,2020_October,2020,October,7.5363,7.6928,0.1565,1,7.1846,NA,44.49815183,44.49815183,"(40,50]",2020_October,0.61,Dry,1,100,5,dry,"(40,45]","(40,50]","(40,60]",17.600000000000023,0.9796563019966722,0.4449815183,48.155271565495205,0.5472360102953411,0.011363989704658906,1.270564584,10.214003164556962,35.02234549141187,64.97765450858813,-0.134,14.376484362566043,0.5115277777777778,18.273651243460826,166.2902263154935,3.654730248692165,100.50508183903453,18.273651243460826,80.40406547122763,62.130414227766806,NA
"2020_October_EPI_ARPA_(140,150]_1.5",2020_October_ARPA_1.5,1.5,4,"2020_October_EPI_ARPA_(140,150]",ARPA,EPI,1.382,0,7,15,23,38,9,78,46,1,280.2,342.3,278.5,NA,0.6265,1,2020_October,2020,October,7.5942,8.1631,0.5689,1,7.1986,NA,143.8068756,143.8068756,"(140,150]",2020_October,0.61,Dry,1,50,1.1111111111111112,hydrated,"(140,145]","(140,150]","(140,160]",62.10000000000002,0.9303083387438595,1.438068756,13.348918966426437,0.582838174223028,0.043661825776971974,1.438068756,1.1822415707356981,100,0,-0.084,13.788487159066905,0.5115277777777778,12.010194784052342,133.82788473658323,15.441679008067295,78.92413715234396,25.73613168011216,65.19820025628414,39.46206857617198,NA
