sample,round,spp,model,mpa,lfm,lfm.notes,fh,ttfg,gti,tti,fd,gd,pfg,ignition,start.temp,temp.max,ignition.temp,prop.new,sample.wt,glow,year,month ,dry.wt,fresh.wt,water.wt,site,bottle.wt,ttms
1.1,5,ARPA,HP,-1.674,99.60955443,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,2.8759,0,2020,October,7.6286,8.0623,0.4337,1,7.1932,0.0
1.1,5,CECO,EPI,-2,90.92627599,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.5768,0,2020,October,7.4968,7.6892,0.1924,1,7.2852,0.0
1.1,8,CECO,HP,-7.354,51.42237876,0,0.0,-6.0,0.0,-6.0,0.0,0.0,0.0,0,224.5,0,0,0,1.0524,0,2020,October,12.5005,12.6903,0.1898,1,12.1314,0.0
1.1,4,PIJE,HP,-3.164,0,0,44.0,87.0,0.0,87.0,44.0,74.0,30.0,1,270.4,326.4,270.9,100,6.0719,0,2020,October,13.4437,0,-13.4437,1,12.1381,20.0
1.1,7,QUKE,HP,-6.166,72.09042702,0,33.5,18.0,0.0,18.0,10.0,42.0,32.0,1,223.2,227.3,222,0,0.7516,0,2020,October,12.3839,12.6422,0.2583,1,12.0256,2.0
1.1,7,PIJE,HP,-3.31,96.41509434,0,51.0,62.0,21.0,83.0,26.0,83.0,36.0,1,243.7,374.9,238.3,50,4.5634,1,2020,October,12.4585,12.7651,0.3066,1,12.1405,6.0
1.1,1,ABCO,HP,-0.208,187.3278237,0,44.0,169.0,0.0,169.0,26.0,62.0,36.0,1,270.9,324.7,276.5,0,6.8053,0,2020,October,7.646,8.462,0.816,1,7.2104,-7181.0
1.1,1,ARPA,EPI,-0.072,115.8615538,0,9.0,19.0,14.0,33.0,6.0,62.0,42.0,1,270,377.4,306.1,0,0.4985,1,2020,October,6.6265,7.0918,0.4653,1,6.2249,-56539.0
1.1,3,PIJE,HP,-2.039,149.3767591,0,41.0,84.0,0.0,84.0,28.0,74.0,46.0,1,279.7,337.8,292.1,100,7.4029,0,2020,October,12.5034,12.8749,0.3715,1,12.2547,8.0
1.1,7,CADE,HP,-2.323,91.27261187,0,53.0,72.0,0.0,72.0,12.0,62.0,50.0,1,238.8,256.9,238.9,0,3.3363,0,2020,October,12.8178,13.393,0.5752,1,12.1876,-11273.0
