author,year,heating.notes,heating.temp,heating.irradiance,second.heating,sample.size.description,sample.weight,sample.length.cm,sample.area.cm,sample.volume.cm,epiradiator,wind.tunnel,muffle.furnace,MLC,xylene.lattice,fire.bench,grill,oxygen.bomb.calorimeter,steel.ring.litter.bed,tray,FFB,FPA,cone.calorimeter,bunsen.burner,other,intermediate.scale.calorimeter,duplicate,model,notes
Montgomery and Cheo,1969,650 C,650,,,NA,,,,,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,N,MF,
Mutch ,1970,NA,210,50,,NA,,,,,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,N,XL,
Delabraze and Valette,1974,NA,,50,,5g,5,,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N,EPI,
Dickinson and Kirkpatrick,1985,NA,,50,,NA,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,Y,BB,
Dickinson and Kirkpatrick,1985,NA,,50,,0.5-1g,0.75,,,,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,Y,OB,
Jones and Rahmati,1990,Up to 250 C,250,,,cubic basket: 4cm3 to 9cm3,,,,369.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,N,other,Oven w/ cubic basket
Taylor and Fonda,1990,NA,,,,~500g,500,,,,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,N,XL,
Valette,1992,600 C; 500W,600,63.66,,0.9-1.1g,1,,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N,EPI,
Stephens et al ,1993,NA,,,,Full plant,,,,,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,N,FB,"Ignition source: natural gas wand, plant laid down on burn table"
White et al,1996,"generally 25kW/m2, but sometimes 50 kw/m2",,25,50,NA,,,,,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,N,CC,
Nunez-Reguira et al ,1996,500 W,,63.66,,NA,,,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Y,EPI,
Gill and Moore,1996,NA,,,,NA,,,,,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,N,MF,
Nunez-Reguira et al ,1996,NA,,,,1g,1,,,,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,Y,OB,
Plucinski,2003,NA,,,,25cm diameter x 1.8cm deep,,,,2775.82,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,N,tray,
Owens et al,1998,NA,,,,open flam bunsen burner: 50g,50,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,Y,BB,screen above an open flame
Massari and Leopaldi,1998,240 C surface temp,240,,,10g,10,,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N,EPI,
Owens et al,1998,NA,,,,bomb: 1g,1,,,,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,Y,OB, 
Ellis,2000,?,,,,300mm,,30,,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N,WT,
Dimitrakopoulos,2001,200 C,200,,,5g,5,,,,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,N,CC,
Morandini et al,2001,NA,,,,NA,,,,,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,N,FB,
Fonda ,2001,NA,,,,~18g,18,,,,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,N,XL,
White et al,2002,NA,,,,"Not listed here, but probably in one of the papers he cites",,,,,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,N,CC,
Guijarro et al ,2002,NA,,,,NA,,,,,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,N,FB,
Mendes-Lopes and Ventura,2003,NA,,,,40mm depth litter bed,,,,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N,WT,
Engstrom et al ,2004,6000 W 25x25cm square radiative panel and flat-flame burner,,96,,4-6cm,,5,,,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,N,FFB,
