author,year,drydown.method,duplicate,model,drydown.notes,notes
Cui et al ,2022,air,N,grill,air-dried for 24 hours,
Cui et al ,2020,air,N,grill,air-dried for 24 hours,
Dibble et al ,2007,air,N,CC,litter dried in a 'vegetation drying room' to a moisture content of ~7.5%,average weight of different species reported
Ellis,2000,air,N,WT,air-dried for two days prior to processing,
Engstrom et al ,2004,air,N,FFB,"air-dried for one to two weeks, until a moisture content of less than 10%",
Grootemaat et al,2017,air,N,MF,air-dried before burns to less than 10% moisture content,
Hawthorne,2020,air,N,grill,air-dried for 18 hours,
Jones and Rahmati,1990,air,N,other,dried litter,Oven w/ cubic basket
Madrigal et al,2019,air,N,MLC,air dried bark prior to burning,
Morandini et al,2001,air,N,FB,1-3% moisture content litter,
Mutch ,1970,air,N,XL,litter dried to a FMC level of around 9%,
Ormeno et al ,2020,air,Y,EPI,partially dehydrated to ~14%; treatments -- rain exclusion vs. no rain exclusion,
Ormeno et al ,2020,air,Y,OB,partially dehydrated to ~14%; treatments -- rain exclusion vs. no rain exclusion,
Padulles et al ,2018,air,N,grill,air-dried for 24 hours,
Romero et al,2019,air,N,EPI,litter air-dried for 48hr,
van Altena,2012,air,N,SR,air-dried prior to burning,
Wyse et al,2016,air,N,grill,air-dried for 24 hours; range of moisture content - 12-239%,
Zhao et al,2014,air,N,BB,air-dried before burns for up to 9 days,"open flame, but not bunsen burner; instead, a tea candle, sample held by hand (very unique method)"
Zhao et al,2019,air,N,SR,"litter air-dried for at least 4 weeks, FMC range of 9-11%",
Zhao et al,2016,air,N,SR,"litter air-dried, FMC range of 3-11%",
Blauw et al,2015,air,N,SR,10 or 30% moisture content for litter samples,
Marino et al ,2010,air.oven,N,tray,"two FMC treatments, imposed % moisture",
Mendes-Lopes and Ventura,2003,air.oven,N,WT,"two FMC treatments, imposed % moisture (10 and 18%)",
Jervis and Rein,2016,dead.live,N,FPA,dead vs. live fuel,
Santana and Marrs,2014,dead.live,N,tray,"three levels of dead fuel (20%, 40% and 60%); FMC remained approx. 52% throughout testing (hydrated to keep there)",
Schemel et al,2008,dead.live,N,FPA,"dead, non-conditioned litter samples",
Simeoni et al,2012,dead.live,N,FPA,"dead, non-conditioned litter samples",
Bianchi et al,2019,field.drought,N,EPI,"collected seasonally, tested for LFM",
De Lillis et al,2009,field.drought,N,EPI,"used fresh material, gathered along a drought gradient (June-Sept.)",
Ganteaume et al,2021,field.drought,N,EPI,"fresh leaves collected in winter, spring and summer",
Massari and Leopaldi,1998,field.drought,N,EPI,"collected monthly, tested for dry matter content",
Dewhirst et al ,2020,fresh.air,Y,CC,lab dried vs fresh,iCone calorimeter (newer automated cone calorimeter); tested branch and litter bed flammability
Grootemaat et al,2015,fresh.air,N,MF,fresh vs. dried vs. dead,
Gill and Moore,1996,fresh.air.oven,N,MF,fresh vs oven dried vs in-between,
Plucinski,2003,fresh.air.oven,N,tray,"three treatments for litter (equilibrium, oven-dried, and misted)",
Ramadhan et al,2021,fresh.air.oven,N,CC,"three treatments for litter (equilibrium/air-dried, oven-dried, and fresh)",
Belcher and Hudspith,2017,fresh.oven,N,CC,tested moist (freshly collected) vs. oven-dried fuels,iCone calorimeter (newer automated cone calorimeter); tested branch and litter bed flammability
Clarke et al,2014,fresh.oven,Y,BB,fresh vs. oven dried samples,
Dehane et al,2017,fresh.oven,N,MLC,oven dried vs. fresh,
