study,id,latitude,longitude,location notes
Alam et al 2020,1,-42.9,172,all over new zealand
Alessio et al 2008,2,41.5336,2.1618,"orestal Catalana, Sta. Perpetua de Mogoda, Barcelona"
Bartoli et al 2011,3,42.3,9.15,"Mediterranean wildland areas; university is: University of Corsica, Campus Grossetti, 20250 Corte, France"
Batista et al 2012,4,-25.4,-49.3,Forestry Department’s Forest Fire Laboratory at the Universidad Federal de Paraná
Behm et al 2004,5,30.18,-82.42,"Five sites of each ecosystem (pine flatwood and hardwood E 2 hammock) were located throughout north central Florida. Each site had experiencedno fires for at least 3 years and con- 1 tained a suite of understory species characterizingthe respective ecosysten~types. Pine flatwood study sites included property managed by the USDA Forest Service (Osceola National Forest),Florida Division of Forestry(Jennings State j Forest, Withlacoochee State Forest. and Welaka State For- I est) and the University of Florida (Austin Cary Memorial Forest). Hardwood hammock study sites included property managed by the USDA Forest Service (Osceola National Forest), Florida Division of Forestry (Jennings State Forest, Twin Rivers State Forest), and the Suwannee River Water ManagementDistrict (Little River Springsand Steinhatchee"
,5,28.6,-82.28,
,5,29.45,-81.66,
,5,29.75,-82.21,
Bianchi et al 2019,6,-40,-71.5,
Blackhall et al 2012,7,-40.96,-71.46,NW Patagonia; Nahuel Huapi N.P.
Blank et al 2006,8,40.28,-118.19,
Blauw et al 2015,9,52.0025,5.017,"The experimental burns were performed in the Fire Laboratory Amsterdam for Research in Ecology (FLARE) at VU University, Amsterdam"
Burger and Bond 2015,10,-33.5667,19.1,
Clarke et al 2014,11,-29.49,152.33,eastern Australia in the New England Tableland Bioregion in a World Heritage-listed conservation reserve (Gibraltar Range-Washpool National Park).
Cornwell et al 2015,12,52.166,5.15,
Curt et al 2011,13,43.05,6.3,
De Lillis et al 2009,14,41.74,12.4,"Central Italy from the Tyrrhenian coasts to the inner hills of the Latium Region (Castelporziano, Castelfusano and Montelibretti)"
,14,41.73,12.35,
,14,42.13,12.74,
de Magalhaes and Schwilk 2012,15,36.6,-118.7,
Dehane et al 2017,16,34.853,-1.352,in the southern part of the mountains of Tlemcen (West of Algeria)
Dehane et al 2015,17,34.853,-1.352,Used coordinates from Dehane 2017; cork oak forests in northern Algeria
Delabraze and Valette 1974,18,,,Mediterranean forests in France
