individual,sample,round,spp,model,mpa,lfm,lfm_notes,fh,ttfg,gti,tti,fd,gd,pfg,ignition,start_temp,temp_max,ignition_temp,prop_new,sample_wt,glow,year_month,year,month,dry_wt,fresh_wt,water_wt,site,lfm_outliers_out,lfm_n_as_imputed,gr,precip_2month,precip_2mo,season,hydration,bins5lfm,bins10lfm,bins20lfm,temp_change,gdw_gfw,gww_gdw,flam_index,max_mpa_sample
2019_December_CEME_4,4,1,CEME,EPI,0.58,96.18380062,0,10.25,13,56,69,6,119,60,1,279.3,343.2,277.85,100,0.576,1,2019_December,2019,December,0.2568,0.5038,0.247,St. Marys,96.18380062,96.18380062,"(90,100]",2019_December,3.69,Wet,hydrated,"(95,100]","(90,100]","(80,100]",63.89999999999998,0.5097260817784834,0.9618380062,6.979591238445601,-0.043
2019_December_CEME_5,5,1,CEME,EPI,0.25,120.9012994,0,10.25,3,60,63,6,171,104,1,283.6,312.3,277.85,100,0.512,1,2019_December,2019,December,0.3617,0.799,0.4373,St. Marys,120.9012994,120.9012994,"(120,130]",2019_December,3.69,Wet,hydrated,"(120,125]","(120,130]","(120,140]",28.69999999999999,0.4526908635794744,1.209012994,7.220333209970354,-0.043
2019_December_CEME_8,8,1,CEME,EPI,0.317,166.37631662564598,0,10.25,9,27,36,6,128,93,1,265.3,296.95000000000005,277.85,100,0.584,1,2019_December,2019,December,0.1522,0.4932,0.341,St. Marys,NA,166.37631662564598,"(220,230]",2019_December,3.69,Wet,hydrated,"(220,225]","(220,230]","(220,240]",23.09999999999999,0.3085969180859692,1.6637631662564598,9.040789252376594,-0.043
2019_December_CEME_5,5,2,CEME,EPI,1.92,123.7289451,0,5,9,40,49,1,113,72,1,276.7,283,277.85,100,0.616,1,2019_December,2019,December,0.6442,1.4412,0.797,St. Marys,123.7289451,123.7289451,"(120,130]",2019_December,3.69,Wet,hydrated,"(120,125]","(120,130]","(120,140]",6.300000000000011,0.44698862059394945,1.237289451,7.071740845122855,-0.043
2019_December_CEME_6,6,2,CEME,EPI,1.39,158.7018545,0,9,30,44,74,4,163,115,1,274.5,307.6,277.85,100,0.665,1,2019_December,2019,December,0.2804,0.7254,0.445,St. Marys,158.7018545,158.7018545,"(150,160]",2019_December,3.69,Wet,hydrated,"(155,160]","(150,160]","(140,160]",33.10000000000002,0.3865453542872897,1.587018545,6.635368338259195,-0.043
2019_December_CEME_9,9,2,CEME,EPI,1.01,155.0548129080762,0,15,24,33,57,9,149,107,1,276.4,261.9,277.85,100,0.669,1,2019_December,2019,December,0.1943,0.5443,0.35,St. Marys,NA,155.0548129080762,"(180,190]",2019_December,3.69,Wet,hydrated,"(180,185]","(180,190]","(180,200]",-14.5,0.3569722579459857,1.550548129080762,8.143583494065025,-0.043
2019_December_CEME_4,4,3,CEME,EPI,2.98,147.9640844,0,13,23,32,55,12,114,70,1,265.7,273.6,277.85,100,0.56,1,2019_December,2019,December,0.2395,0.5938,0.3543,St. Marys,147.9640844,147.9640844,"(140,150]",2019_December,3.69,Wet,hydrated,"(145,150]","(140,150]","(140,160]",7.900000000000034,0.40333445604580664,1.479640844,7.996621510111008,-0.043
2019_December_CEME_6,6,3,CEME,EPI,2.37,170.2711981,0,3,26,34,60,3,132,95,1,259.7,260.4,277.85,NA,0.647,1,2019_December,2019,December,0.2913,0.7873,0.496,St. Marys,170.2711981,170.2711981,"(170,180]",2019_December,3.69,Wet,hydrated,"(170,175]","(170,180]","(160,180]",0.6999999999999886,0.3699987298361488,1.702711981,6.173713404422584,-0.043
2019_December_CEME_6,6,3,CEME,EPI,2.37,170.2711981,0,13,27,18,45,3,103,82,1,265.2,297.1,277.85,100,0.647,1,2019_December,2019,December,0.2913,0.7873,0.496,St. Marys,170.2711981,170.2711981,"(170,180]",2019_December,3.69,Wet,hydrated,"(170,175]","(170,180]","(160,180]",31.90000000000003,0.3699987298361488,1.702711981,8.665235348749052,-0.043
2019_December_CEME_9,9,3,CEME,EPI,2.152,167.22579536331662,0,13,19,27,46,5,157,125,1,274.2,276.8,277.85,100,0.623,1,2019_December,2019,December,0.2211,0.6467,0.4256,St. Marys,NA,167.22579536331662,"(190,200]",2019_December,3.69,Wet,hydrated,"(190,195]","(190,200]","(180,200]",2.6000000000000227,0.3418895933199319,1.6722579536331663,8.588087598136973,-0.043
